support , thousand
epa , rally
california , rally
california , thousand
california , demand
march , news
nationwide , news
a.m. , frelinghuysen
a.m. , support
a.m. , rally
a.m. , gather
demonstrator , gather
demonstrator , recognize
demonstrator , frelinghuysen
demonstrator , support
demonstrator , rally
demonstrator , march
demonstrator , event
demonstrator , earth
edt , gather
edt , recognize
gather , recognize
gather , rally
gather , iowa
gather , valley
capitol , recognize
march , recognize
science , valley
cedar , valley
cedar , event
cedar , recognize
event , recognize
happen , march
happen , stop
happen , tri
happen , state
happen , news
happen , republicans
aim , happen
aim , stop
aim , counter
aim , march
aim , republicans
aim , cut
aim , trend
aim , cost
aim , day
aim , tri
aim , state
aim , news
aim , thoughtful
aim , epa
aim , alarm
aim , anti
aim , science
aim , hide
science , tri
science , state
stop , trump
counter , trend
counter , day
counter , happen
counter , stop
counter , science
counter , hide
counter , march
counter , republicans
counter , cut
counter , florio
alarm , trend
alarm , anti
alarm , science
alarm , cost
alarm , day
anti , trend
anti , science
anti , cost
anti , day
science , trend
cost , day
cost , florio
cost , happen
cost , stop
cost , legislation
cost , gov
gas , tax
gas , legislation
day , stop
republicans , stop
epa , historian
cut , historian
cut , unprecedented
cut , trend
historian , march
historian , unprecedented
historian , trend
march , unprecedented
march , trend
march , pretty
march , marcher
pretty , unprecedented
pretty , trend
marcher , trend
marcher , science
marcher , protest
decentralist , marcher
decentralist , trend
decentralist , science
decentralist , protest
protest , trend
globe , man
remember , think
defend , support
demonstrator , protester
attract , run
look , tone
place , space
man , worldwide
exhibit , march
free , liberal
attract , draw
free , progressive
big , great
refuse , resist
globe , worldwide
earth , worldwide
defend , push
great , liberal
lead , run
big , liberal
bad , big
man , world
big , progressive
defend , fight
aim , space
bad , great
fight , promote
leave , run
advanced , promote
bad , liberal
aim , place
globe , world
world , worldwide
blow , gas
cereal , day
day , earth
cereal , earth
cereal , horror
fish , horror
deaf , horror
cereal , killer
fish , killer
deaf , killer
fish , oyster
deaf , oyster
cereal , oyster
herpe , oyster
killer , oyster
horror , oyster
fish , herpe
blow , plan
destroy , plan
nye , plan
gasket , plan
aim , plan
hang , plan
chart , plan
narrative , plan
climatologist , plan
pac , plan
blow , obama
destroy , obama
blow , return
destroy , return
gasket , return
march , return
aim , return
chart , return
narrative , return
climatologist , return
pac , return
promote , return
bill , return
liberal , return
his , return
aim , blow
blow , march
march , skepticism
return , skepticism
aim , skepticism
cut , skepticism
hang , skepticism
blow , cut
aim , budget
march , shocking
return , shocking
aim , shocking
hang , shocking
hang , nye
long , nye
aim , nye
house , nye
aim , hang
blow , hang
destroy , hang
hang , long
aim , long
house , long
house , white
march , political
marchforscience , political
march , marchforscience
democrat , march
medium , report
liberal , report
blow , chart
blow , destroy
aim , destroy
climatologist , destroy
day , destroy
day , narrative
blow , narrative
earth , narrative
day , liberal
climatologist , syrian
leave , syrian
pac , syrian
promote , syrian
climatologist , gas
gas , poison
killing , poison
climatologist , killing
blow , climatologist
climatologist , wing
use , wing
pac , wing
promote , wing
climatologist , leave
pac , use
promote , use
blow , use
his , use
nye , use
gasket , use
aim , use
day , use
blow , pac
day , promote
march , promote
blow , promote
earth , promote
earth , nonpartisan
day , nonpartisan
blow , nye
gasket , nye
fact , school
school , scientist
fact , scientist
blow , cnn
blame , cnn
bill , cnn
air , cnn
clean , cnn
change , cnn
celebrates , cnn
change , fact
change , climate
degree , man
engineering , man
degree , mechanical
engineering , mechanical
degree , engineering
man , nye
change , nye
climate , nye
fact , nye
degree , nye
cnn , rip
blow , rip
day , rip
return , rip
gasket , rip
earth , rip
nod , rip
environment , rip
blame , rip
blow , day
blame , day
celebrates , trump
school , trump
blow , trump
blow , earth
blow , nod
blow , environment
maddow , workers
rachel , workers
blame , workers
trump , workers
maddow , us
rachel , us
blame , us
blame , maddow
maddow , rachel
blame , rachel
riot , trump
scientist , trump
return , trump
gasket , trump
think , trump
march , riot
plan , riot
riot , violent
march , violent
england , march
march , socialist
science , socialist
plan , socialist
march , venezuela
science , venezuela
plan , venezuela
