term,degree,closeness,is_alpha,usable_term
cuba,3,0.3035536029507143,True,True
deni,3,0.3007868383404864,True,True
compensation,3,0.2924104960069539,True,True
student,3,0.28984227333186147,True,True
scientific,3,0.28911676075781423,True,True
green,3,0.28911676075781423,True,True
economic,3,0.28911676075781423,True,True
mental,3,0.2887553648068669,True,True
migrant,3,0.2769835633639012,True,True
coal,3,0.27467811158798283,True,True
pleasant,3,0.27467811158798283,True,True
alternative,3,0.2622069146940903,True,True
islam,3,0.2619096279427364,True,True
nuclear,3,0.2513648442279582,True,True
fracke,3,0.2513648442279582,True,True
resident,3,0.2470634137384958,True,True
lancaster,3,0.18857493211877024,True,True
ocean,2,0.3447825251425277,True,True
time,2,0.3067786080285439,True,True
argentina,2,0.30117899849477653,True,True
speech,2,0.2708139412022199,True,True
christianity,2,0.2670569847924781,True,True
downright,2,0.26552217453505006,True,True
movement,2,0.253850870159883,True,True
support,2,0.24865908702421266,True,True
college,2,0.2249311507745799,True,True
briton,1,0.2894790624630245,True,True
executive,1,0.22625297928060095,True,True
electric,1,0.1849513945920685,True,True
horror,0,0.0,True,True
