term,degree,closeness,is_alpha,usable_term
tornado,11,0.4478555690676903,True,True
hope,11,0.4478555690676903,True,True
young,11,0.4428849190225439,True,True
teacher,11,0.4428849190225439,True,True
gutte,11,0.44092741661802437,True,True
supply,11,0.44092741661802437,True,True
rock,11,0.44044074176524506,True,True
mistake,11,0.43468334644805234,True,True
worth,11,0.4342103504236257,True,True
coalition,11,0.4290745290745291,True,True
debate,11,0.42496199365208953,True,True
build,11,0.42181745458701064,True,True
business,11,0.41053427164538275,True,True
urgent,11,0.4080156564819142,True,True
organize,11,0.4018522779852085,True,True
single,11,0.40104453471287643,True,True
failure,11,0.38039972549028794,True,True
billion,10,0.45919368474029004,True,True
solution,10,0.4560449280449281,True,True
affect,10,0.45396963826997955,True,True
alter,10,0.4529390602035324,True,True
response,10,0.4488631181544568,True,True
hit,10,0.44387020249089215,True,False
denier,10,0.4428849190225439,True,True
town,10,0.4394706079728106,True,True
afraid,10,0.4370638686082279,True,True
vote,10,0.436108537747882,True,True
refuse,10,0.43515737408867183,True,True
win,10,0.43326743978209775,True,False
wake,10,0.43232861542720696,True,True
era,10,0.4318607273152728,True,False
pariah,10,0.4084332774199714,True,True
medium,10,0.40718297146868576,True,True
level,10,0.4018522779852085,True,True
decade,10,0.3978457747151666,True,True
power,10,0.3775206357987815,True,True
divesting,10,0.37119936003656934,True,True
life,10,0.3694808444808445,True,True
weather,9,0.46078442498765826,True,True
decision,9,0.4544866879718816,True,True
legacy,9,0.45242552385409535,True,True
thousand,9,0.4483587775722607,True,True
voter,9,0.4483587775722607,True,True
support,9,0.4463526980305504,True,True
protest,9,0.4433770133770134,True,True
rest,9,0.4428849190225439,True,True
separate,9,0.4428849190225439,True,True
frequent,9,0.4419040000435349,True,True
heat,9,0.44092741661802437,True,True
urgency,9,0.44044074176524506,True,True
europe,9,0.44044074176524506,True,True
disinformation,9,0.44044074176524506,True,True
transform,9,0.4394706079728106,True,True
survival,9,0.4394706079728106,True,True
survive,9,0.4240587800630309,True,True
grief,9,0.42271113563486445,True,True
pruitt,9,0.41871911021963487,True,True
official,9,0.4088517541386394,True,True
hand,9,0.4067679021807462,True,True
activism,9,0.40307001216092125,True,True
furious,9,0.40307001216092125,True,True
scale,9,0.402257371007371,True,True
bury,9,0.37645218116916235,True,True
existence,9,0.3671014830168464,True,True
mainstream,9,0.36441946304960005,True,True
pressure,9,0.3637550702272671,True,True
strong,9,0.3598190370056917,True,True
way,9,0.35533331437160465,True,False
reckless,8,0.4529390602035324,True,True
reclaim,8,0.4508918780105221,True,True
house,8,0.4488631181544568,True,True
health,8,0.4458539799321923,True,True
economy,8,0.43995514006539366,True,True
length,8,0.4375431053062632,True,True
quit,8,0.436108537747882,True,True
they,8,0.436108537747882,True,False
big,8,0.4356324367241398,True,False
extreme,8,0.428613654177564,True,True
retreat,8,0.4254150448180299,True,True
california,8,0.4254150448180299,True,True
agenda,8,0.42496199365208953,True,True
happen,8,0.4240587800630309,True,True
message,8,0.4240587800630309,True,True
fill,8,0.4240587800630309,True,True
leave,8,0.4222638222638223,True,True
rewrite,8,0.41828020129906923,True,True
secretly,8,0.4156659500409501,True,True
immediate,8,0.4152334152334153,True,True
powerful,8,0.41480177966664455,True,True
struggle,8,0.3986406713679441,True,True
poll,8,0.3958723333723334,True,True
good,8,0.3771638110012401,True,True
mall,8,0.3543866003901528,True,True
nurse,7,0.44436449002150563,True,True
defunding,7,0.4375431053062632,True,True
president,7,0.4365856805681751,True,True
kid,7,0.4342103504236257,True,False
illegal,7,0.428613654177564,True,True
collapse,7,0.41959969720222084,True,True
progress,7,0.41696897809750477,True,True
unbearable,7,0.4156659500409501,True,True
right,7,0.4152334152334153,True,True
strategy,7,0.41394119506152705,True,True
deal,7,0.41308417395373914,True,True
industry,7,0.4059402970898393,True,True
hard,7,0.40552775613751224,True,True
federal,7,0.4026632815734733,True,True
inaction,7,0.40144800003954934,True,True
overseas,7,0.3885485024725531,True,True
partisan,7,0.3715449832768269,True,True
future,7,0.3667640735655442,True,True
treaty,7,0.357241998244684,True,True
wind,7,0.34668923721921113,True,True
democracy,6,0.436108537747882,True,True
china,6,0.4342103504236257,True,True
taxpayer,6,0.4254150448180299,True,True
speak,6,0.4222638222638223,True,True
save,6,0.41959969720222084,True,True
corporation,6,0.41871911021963487,True,True
quietly,6,0.41871911021963487,True,True
vacuum,6,0.41653372864228816,True,True
funding,6,0.4152334152334153,True,True
deadly,6,0.41308417395373914,True,True
geography,6,0.40635367824777197,True,True
danger,6,0.40024003213571924,True,True
alarm,6,0.3954799921103192,True,True
prove,6,0.3904494246960001,True,True
time,6,0.3896868281633907,True,True
clear,6,0.3870410398053463,True,True
economic,6,0.3715449832768269,True,True
record,6,0.36542061542061544,True,True
defining,6,0.35313213454806375,True,True
solar,6,0.34222925560832934,True,True
stand,6,0.3347645235229128,True,True
complicit,5,0.43468334644805234,True,True
weak,5,0.43139385085331033,True,True
real,5,0.428613654177564,True,True
erasing,5,0.428613654177564,True,True
drought,5,0.41828020129906923,True,True
common,5,0.41828020129906923,True,True
come,5,0.41609938690230663,True,True
devastating,5,0.41351224045524565,True,True
away,5,0.4126569928017705,True,True
permanent,5,0.41053427164538275,True,True
freshwater,5,0.39943875079010216,True,True
color,5,0.39626545386227613,True,True
center,5,0.3950884277616951,True,True
dangerous,5,0.38930664589201175,True,True
coal,5,0.37931493539858563,True,True
democrats,5,0.3785951727128198,True,True
congress,5,0.3694808444808445,True,True
tax,5,0.368797885433745,True,False
you,5,0.3671014830168464,True,False
conservative,5,0.3657555564063355,True,True
citizen,5,0.3657555564063355,True,True
ally,5,0.36475257041984643,True,True
hidden,5,0.35949487571109195,True,True
term,5,0.3582040503045889,True,True
insurance,5,0.35533331437160465,True,True
international,5,0.353758255354,True,True
corporate,5,0.353758255354,True,True
white,5,0.3528199045440425,True,True
scott,5,0.3497277055559264,True,True
imperative,5,0.3494214641324974,True,True
national,5,0.34105924105924107,True,True
barely,5,0.33788256734912114,True,True
fossil,5,0.3361746520971458,True,True
mass,5,0.3223257770915283,True,True
opioid,4,0.4385047385047385,True,True
border,4,0.4245099064248,True,True
polite,4,0.4222638222638223,True,True
deny,4,0.4126569928017705,True,True
youth,4,0.4118052755823654,True,True
resilience,4,0.409691285461306,True,True
infrastructure,4,0.4075988887020552,True,True
normal,4,0.3946976380210802,True,True
overnight,4,0.3889272047166784,True,True
decisive,4,0.38406093555275467,True,True
human,4,0.38003744003744006,True,True
aggressive,4,0.3775206357987815,True,True
interference,4,0.36441946304960005,True,True
democrat,4,0.34820184296624085,True,True
majority,4,0.3445935337127047,True,True
security,4,0.3445935337127047,True,True
law,4,0.3445935337127047,True,False
refugee,4,0.3434073253350362,True,True
blue,4,0.3347645235229128,True,True
help,4,0.33170350127956116,True,True
republican,4,0.3205135036460338,True,True
projection,4,0.31745370886182345,True,True
archiving,3,0.4318607273152728,True,True
frontline,3,0.4309279827638359,True,True
worker,3,0.41696897809750477,True,True
terrified,3,0.41053427164538275,True,True
humanitarian,3,0.4026632815734733,True,True
undeniable,3,0.3908318433293948,True,True
wildfire,3,0.39006775370411734,True,True
renewable,3,0.38149073808729644,True,True
allergy,3,0.3746848000369127,True,True
historic,3,0.3743333133577036,True,True
coastal,3,0.35596727211357004,True,True
child,3,0.34668923721921113,True,True
election,3,0.3454885818522182,True,True
carbon,3,0.3445935337127047,True,True
long,3,0.3425230146260189,True,True
matter,3,0.3390308513503076,True,True
local,3,0.3375967106931574,True,True
scientific,3,0.33731133731133733,True,True
extinction,3,0.3361746520971458,True,True
ordinary,3,0.3328101017842469,True,True
fire,3,0.331979460931208,True,True
west,3,0.33170350127956116,True,True
hurricane,3,0.3262790777099853,True,True
dark,3,0.32495057983657333,True,True
sea,3,0.3172013609215517,True,False
politic,3,0.3039141752013039,True,True
website,2,0.3915989323251345,True,True
noaa,2,0.38741680780515736,True,True
homeowner,2,0.33960792513984006,True,True
wetland,2,0.3336449097318663,True,True
bipartisan,2,0.33005733005733007,True,True
hoax,2,0.3297845554043901,True,True
default,2,0.31395697249355786,True,True
prior,2,0.31297200944259773,True,True
democratic,2,0.2889495380443968,True,True
claim,1,0.2866661724420345,True,True
institution,1,0.26655932667956717,True,True
fema,1,0.002457002457002457,True,True
unready,1,0.002457002457002457,True,True
proof,0,0.0,True,True
fact,0,0.0,True,True
